tau_w,feasible,param_beta,param_alpha,param_delta,param_phi,param_p_informal_prod,param_p_sep_rate,param_p_match_eff,param_p_vac_cost,param_p_bargain,param_p_match_elast,param_tau_w,param_tau_c,param_p_ben_level,param_pop_savers,param_legacy_accounting,y_f,y_i,y_tot,k,inv,r,l_f,l_i,u,v,theta,w_f,w_i,p_find,p_fill,c_sav,c_spd,lf_sav,lf_spd,li_spd,gov_rev,gov_exp,lump_tax,unemployment_formal,unemployment_total,informal_employment_share,informal_output_share,replacement_rate,consumption,inequality_ratio,walras_gap
0.05,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.05,0.0,0.3,0.5,False,4.104302030546672,0.40540392375111295,4.509705954297784,40.80996845515187,1.0202492113787964,0.04022842639593899,0.8876082865584066,0.3378366031259274,0.11239171344159356,0.28039379283120214,2.4947906233043953,2.6397833877172356,1.2,0.552821717513692,0.2215904262063763,1.8560867700736214,1.5352321453544466,0.4438041432792033,0.4438041432792033,0.3378366031259274,0.11715468048285209,0.03371751403247807,-0.083437166450374,0.11239171344159356,0.08401004515722194,0.27568486022488675,0.08989586635127728,0.11364568827725911,3.391318915428068,1.2089942069608617,8.881784197001252e-16
0.07708333333333334,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.07708333333333334,0.0,0.3,0.5,False,4.087036377466345,0.41968101565388394,4.506717393120229,40.63829230843521,1.01595730771088,0.04022842639593895,0.883874366239462,0.34973417971156995,0.11612563376053804,0.2690995502013581,2.3173139425552387,2.6446599875812296,1.2,0.5327954184891389,0.22991939447860915,1.880794760760591,1.5157804820782819,0.441937183119731,0.441937183119731,0.34973417971156995,0.180185927721588,0.0348376901281614,-0.1453482375934266,0.11612563376053804,0.08603592878217944,0.28350499099529797,0.0931234375367206,0.113436132209334,3.396575242838873,1.2408094595477568,-8.881784197001252e-16
0.10416666666666666,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.10416666666666666,0.0,0.3,0.5,False,4.06786451466311,0.434385664207164,4.502250178870273,40.44766230352713,1.0111915575881785,0.04022842639593915,0.879728203465317,0.36198805350597,0.12027179653468309,0.2573909209875772,2.140077128667091,2.6497202019827055,1.2,0.5120150859708321,0.23925076302728007,1.9044365683952427,1.496535230541201,0.43986410173265844,0.43986410173265844,0.36198805350597,0.24281599926833355,0.03608153896040493,-0.2067344603079286,0.12027179653468309,0.08830605835718212,0.29152235985772434,0.09648190281513014,0.11321950135547107,3.4009717989364434,1.2725638057358195,8.881784197001252e-16
0.13124999999999998,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.13124999999999998,0.0,0.3,0.5,False,4.046407345542753,0.44956401467223556,4.495971360214989,40.23430900047576,1.0058577250118943,0.0402284263959389,0.8750878137046268,0.37463667889352964,0.12491218629537298,0.24522144857301564,1.9631507208844616,2.6549852255259596,1.2,0.4903936819621012,0.24979930310249607,1.926782207201998,1.4775039210005418,0.4375439068523135,0.4375439068523135,0.37463667889352964,0.30493905965559825,0.0374736558886119,-0.26746540376698524,0.12491218629537298,0.090869237096101,0.29977541539148855,0.09999263310492668,0.112994979073968,3.40428612820254,1.3040792513749893,0.0
0.15833333333333333,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.15833333333333333,0.0,0.3,0.5,False,4.022170982122494,0.4652757328446883,4.487446714967182,39.993321563564976,0.9998330390891245,0.04022842639593909,0.869846387306729,0.3877297773705736,0.130153612693271,0.23253530097353545,1.7866219474179654,2.6604806712153963,1.2,0.4678260238151579,0.2618494777203775,1.947531047722118,1.458695272815202,0.4349231936533645,0.4349231936533645,0.3877297773705736,0.3664165042230482,0.0390460838079813,-0.3273704204150669,0.130153612693271,0.09378887360901193,0.3083151448485556,0.10368384571405236,0.1127615784793317,3.40622632053732,1.3351185021416363,0.0
0.18541666666666667,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.18541666666666667,0.0,0.3,0.5,False,3.994497776526687,0.48159991701018307,4.47609769353687,39.718160856820795,0.9929540214205198,0.04022842639593884,0.8638616994305263,0.4013332641751526,0.13613830056947385,0.21926438999792527,1.6106003165951872,2.666237978617898,1.2,0.444183001456506,0.2757872309348044,1.9662815144835848,1.4401196211334915,0.43193084971526313,0.43193084971526313,0.4013332641751526,0.427062953219294,0.04084149017084214,-0.38622146304845184,0.13613830056947385,0.09714912508667739,0.3172106084199015,0.1075937010279233,0.11251808818487818,3.4064011356170765,1.3653598531877242,0.0
0.21249999999999997,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.21249999999999997,0.0,0.3,0.5,False,3.962489121346101,0.49864447163581876,4.46113359298192,39.399891831176454,0.9849972957794114,0.04022842639593901,0.8569394146258467,0.4155370596965156,0.14306058537415348,0.20532424312922237,1.4352258002595732,2.6722964576128234,1.2,0.4193031844999483,0.29215137048408246,1.9824832638410397,1.4217895482662402,0.42846970731292333,0.42846970731292333,0.4155370596965156,0.48662418444485933,0.042918175612246035,-0.4437060088326133,0.14306058537415348,0.10106452840226236,0.32655775417600824,0.1117752833988802,0.1122629935557343,3.40427281210728,1.394357741803997,-8.881784197001252e-16
0.23958333333333331,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.23958333333333331,0.0,0.3,0.5,False,3.9248785105598016,0.5165616083303133,4.441440118890115,39.02592134159169,0.975648033539792,0.04022842639593886,0.848805634619407,0.43046800694192777,0.15119436538059305,0.19060789826341829,1.2606812283223103,2.6787063580430117,1.2,0.39298021638434044,0.31172052661346494,1.9953584710267924,1.403720849931334,0.42440281730970353,0.42440281730970353,0.43046800694192777,0.5447408766098749,0.045358309614177916,-0.49938256699569694,0.15119436538059305,0.10569573359687942,0.3364940798878244,0.11630498093023901,0.11199435843321462,3.3990793209581263,1.4214781173367907,0.0
0.26666666666666666,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.26666666666666666,0.0,0.3,0.5,False,3.879811911142422,0.5355748181560759,4.415386729298499,38.577814334135404,0.964445358353385,0.04022842639593906,0.8390594008402776,0.4463123484633965,0.16094059915972225,0.1749765271942985,1.087211853987486,2.6855336750698195,1.2,0.3649430806488418,0.33566878369690983,2.0037655104055676,1.3859340760215404,0.4195297004201389,0.4195297004201389,0.4463123484633965,0.6008859403574591,0.048282179747916674,-0.5526037606095425,0.16094059915972225,0.11127651598267146,0.34722433312010925,0.12129737461098139,0.11170963998140908,3.389699586427108,1.445787029176433,-1.7763568394002505e-15
0.29374999999999996,True,0.985,0.4,0.025,1.0,1.2,0.07,0.35,0.35,0.5,0.5,0.29374999999999996,0.0,0.3,0.5,False,3.8244430778978082,0.5560288546820576,4.380471932579866,38.02726997329319,0.9506817493323297,0.04022842639593892,0.8270851760295238,0.4633573789017148,0.1729148239704761,0.15824435932100042,0.9151578545285363,2.6928680656275827,1.2,0.3348235911338174,0.3658643036029113,2.0059475411966896,1.3684571162884966,0.4135425880147619,0.4135425880147619,0.4633573789017148,0.6542491820621376,0.05187444719114282,-0.6023747348709947,0.1729148239704761,0.11816308610836602,0.3590685824262862,0.12693355036624698,0.11140538366111297,3.3744046574851865,1.4658461104263043,8.881784197001252e-16
